Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,deviation_factor,Number_of-units,cost,area,vert/hori_area_factor_z-axis,Avg_curvature_angle_z axis,vert/hori_area_factor_x-axis,Avarage curvatrure angle x axis,vert/hori_area_factor_y-axis,Avg_curvature_angle_y axis
-0.429134,-0.523317,-0.35686,-0.304147,-0.303576,-0.211766,0.080762,-0.146626,-0.348824,0.097793,102,381,18.790521,0.017771,78.232759,0.007956,26.586761,None,24.68427
-0.402954,-0.512621,-0.331028,-0.269551,-0.28885,-0.189288,0.106711,-0.148652,-0.342189,0.099515,109,401,18.493125,0.012234,79.726974,0.014635,25.081188,0.023549,23.815842
-0.377081,-0.501757,-0.304487,-0.238042,-0.275927,-0.166656,0.130119,-0.152441,-0.335571,0.103418,104,403,18.251865,0.017757,80.31841,0.008531,23.622222,0.011468,23.396296
-0.351699,-0.489625,-0.275877,-0.21048,-0.264812,-0.143528,0.150309,-0.158287,-0.329415,0.107483,103,502,18.050256,0.020951,80.765546,0.016447,22.597908,0.007954,24.143802
-0.325913,-0.460446,-0.226629,-0.193459,-0.251803,-0.114921,0.162591,-0.16674,-0.328016,0.120968,90,403,17.854057,0.021648,81.414159,0.007613,21.395633,0.00877,23.505652
-0.299374,-0.358625,-0.094452,-0.212954,-0.223154,-0.067097,0.149015,-0.176541,-0.347134,0.090139,91,402,17.46535,0.016504,82.646341,0.006311,19.629878,0.024714,22.82378
-0.272502,-0.343024,-0.058883,-0.210692,-0.22381,-0.042304,0.149509,-0.195151,-0.338742,0.090788,87,336,17.450611,0.024384,83.193443,0.006126,18.082258,0.002595,21.999465
-0.232153,-0.316329,-0.003702,-0.235594,-0.234345,-0.008234,0.129436,-0.230877,-0.323106,0.093656,98,537,17.575866,0.026272,83.084925,0.014113,16.514778,None,22.991304
-0.210291,-0.308408,0.024306,-0.226734,-0.237416,0.01514,0.133807,-0.250378,-0.316859,0.09064,92,349,17.736077,0.024483,82.259135,0.011122,16.238208,0.009738,25.034434
-0.195867,-0.307197,0.041292,-0.209847,-0.238932,0.033171,0.143851,-0.264143,-0.313586,0.085537,93,545,17.899854,0.044052,81.160096,0.004806,17.169545,0.001223,26.034545
-0.183897,-0.305658,0.054032,-0.195883,-0.238843,0.046848,0.152234,-0.273547,-0.31033,0.085894,101,377,18.039028,0.042769,80.524766,0.02588,18.452036,0.004971,26.787054
-0.159757,-0.28784,0.060004,-0.171857,-0.221378,0.058582,0.159273,-0.269012,-0.289217,0.088095,99,709,17.940021,0.032483,81.073913,0.014415,17.688785,None,26.166667
-0.136739,-0.264164,0.061125,-0.150596,-0.194901,0.062286,0.166194,-0.251133,-0.266673,0.089184,93,372,17.709908,0.036586,81.841304,0.024574,17.597368,0.008702,24.623438
